rtc_time,gmt_time,channel_name,phase,voltage,current,power,pf,import_kwh,export_kwh,is_active_generation,is_active_window,is_valid,status,voltage_kf,current_kf,power_kf
2026-04-01 00:00:00,2026-03-31 16:00:54,SOLAR,Phase_C,244.4,0.15,0.0,0.0,26171.684,3.672,False,False,True,inactive,244.4,0.15,0.0
2026-04-01 00:10:00,2026-03-31 16:10:40,SOLAR,Phase_C,244.8,0.15,0.0,0.0,26171.684,3.672,False,False,True,inactive,244.763639669121,0.15,0.0
2026-04-01 00:20:00,2026-03-31 16:20:26,SOLAR,Phase_C,244.6,0.15,0.0,0.0,26171.684,3.672,False,False,True,inactive,244.68567077115736,0.15,0.0
2026-04-01 00:30:00,2026-03-31 16:30:12,SOLAR,Phase_C,245.0,0.15,0.0,0.0,26171.684,3.672,False,False,True,inactive,244.787251265588,0.15,0.0
2026-04-01 00:40:00,2026-03-31 16:40:57,SOLAR,Phase_C,247.7,0.15,0.0,0.0,26171.684,3.672,False,False,True,inactive,245.5003143787672,0.15,0.0
2026-04-01 00:50:00,2026-03-31 16:50:43,SOLAR,Phase_C,245.8,0.15,0.0,0.0,26171.684,3.672,False,False,True,inactive,245.55944470548928,0.15,0.0
2026-04-01 01:00:00,2026-03-31 17:00:29,SOLAR,Phase_C,245.1,0.15,0.0,0.0,26171.684,3.672,False,False,True,inactive,245.483411244494,0.15,0.0
2026-04-01 01:10:00,2026-03-31 17:10:14,SOLAR,Phase_C,249.5,0.15,0.0,0.0,26171.684,3.672,False,False,True,inactive,246.05668794405517,0.15,0.0
2026-04-01 01:20:00,2026-03-31 17:20:01,SOLAR,Phase_C,249.1,0.15,0.0,0.0,26171.684,3.672,False,False,True,inactive,246.43912780807224,0.15,0.0
2026-04-01 01:30:00,2026-03-31 17:30:45,SOLAR,Phase_C,250.2,0.15,0.0,0.0,26171.684,3.672,False,False,True,inactive,246.8619448208269,0.15,0.0
2026-04-01 01:40:00,2026-03-31 17:40:31,SOLAR,Phase_C,248.7,0.15,0.0,0.0,26171.684,3.672,False,False,True,inactive,247.0491885315225,0.15,0.0
2026-04-01 01:50:00,2026-03-31 17:50:17,SOLAR,Phase_C,249.0,0.15,0.0,0.0,26171.684,3.672,False,False,True,inactive,247.23115101720936,0.15,0.0
2026-04-01 02:00:00,2026-03-31 18:00:03,SOLAR,Phase_C,249.1,0.15,0.0,0.0,26171.684,3.672,False,False,True,inactive,247.3921582739029,0.15,0.0
2026-04-01 02:10:00,2026-03-31 18:10:47,SOLAR,Phase_C,249.8,0.15,0.0,0.0,26171.684,3.672,False,False,True,inactive,247.5851863000163,0.15,0.0
2026-04-01 02:20:00,2026-03-31 18:20:33,SOLAR,Phase_C,250.3,0.15,0.0,0.0,26171.684,3.672,False,False,True,inactive,247.78899551833192,0.15,0.0
2026-04-01 02:30:00,2026-03-31 18:30:20,SOLAR,Phase_C,249.2,0.15,0.0,0.0,26171.684,3.672,False,False,True,inactive,247.88874650965147,0.15,0.0
2026-04-01 02:40:00,2026-03-31 18:40:05,SOLAR,Phase_C,249.4,0.15,0.0,0.0,26171.684,3.672,False,False,True,inactive,247.98984742778651,0.15,0.0
2026-04-01 02:50:00,2026-03-31 18:50:50,SOLAR,Phase_C,246.6,0.15,0.0,0.0,26171.684,3.672,False,False,True,inactive,247.9014786953985,0.15,0.0
2026-04-01 03:00:00,2026-03-31 19:00:36,SOLAR,Phase_C,245.7,0.15,0.0,0.0,26171.684,3.672,False,False,True,inactive,247.7679285474683,0.15,0.0
2026-04-01 03:10:00,2026-03-31 19:10:22,SOLAR,Phase_C,245.4,0.15,0.0,0.0,26171.684,3.672,False,False,True,inactive,247.63039389843397,0.15,0.0
2026-04-01 03:20:00,2026-03-31 19:20:08,SOLAR,Phase_C,246.7,0.15,0.0,0.0,26171.684,3.672,False,False,True,inactive,247.578490680846,0.15,0.0
2026-04-01 03:30:00,2026-03-31 19:30:52,SOLAR,Phase_C,249.0,0.15,0.0,0.0,26171.684,3.672,False,False,True,inactive,247.65487531241365,0.15,0.0
2026-04-01 03:40:00,2026-03-31 19:40:38,SOLAR,Phase_C,249.6,0.15,0.0,0.0,26171.684,3.672,False,False,True,inactive,247.7558164749097,0.15,0.0
2026-04-01 03:50:00,2026-03-31 19:50:30,SOLAR,Phase_C,250.1,0.15,0.0,0.0,26171.684,3.672,False,False,True,inactive,247.8735816345425,0.15,0.0
2026-04-01 04:00:00,2026-03-31 20:00:16,SOLAR,Phase_C,250.0,0.15,0.0,0.0,26171.684,3.672,False,False,True,inactive,247.97722301436576,0.15,0.0
2026-04-01 04:10:00,2026-03-31 20:10:02,SOLAR,Phase_C,248.4,0.15,0.0,0.0,26171.684,3.672,False,False,True,inactive,247.9972554792308,0.15,0.0
2026-04-01 04:20:00,2026-03-31 20:20:46,SOLAR,Phase_C,249.3,0.15,0.0,0.0,26171.684,3.672,False,False,True,inactive,248.05737735798755,0.15,0.0
2026-04-01 04:30:00,2026-03-31 20:30:32,SOLAR,Phase_C,248.5,0.15,0.0,0.0,26171.684,3.672,False,False,True,inactive,248.0773073858425,0.15,0.0
2026-04-01 04:40:00,2026-03-31 20:40:18,SOLAR,Phase_C,250.6,0.15,0.0,0.0,26171.684,3.672,False,False,True,inactive,248.18831053376,0.15,0.0
2026-04-01 04:50:00,2026-03-31 20:50:04,SOLAR,Phase_C,250.9,0.15,0.0,0.0,26171.684,3.672,False,False,True,inactive,248.30508645017468,0.15,0.0
2026-04-01 05:00:00,2026-03-31 21:00:49,SOLAR,Phase_C,248.7,0.15,0.0,0.0,26171.684,3.672,False,False,True,inactive,248.3217534665416,0.15,0.0
2026-04-01 05:10:00,2026-03-31 21:10:35,SOLAR,Phase_C,248.8,0.15,0.0,0.0,26171.684,3.672,False,False,True,inactive,248.3415600065859,0.15,0.0
2026-04-01 05:20:00,2026-03-31 21:20:21,SOLAR,Phase_C,247.4,0.15,0.0,0.0,26171.684,3.672,False,False,True,inactive,248.30324878517183,0.15,0.0
2026-04-01 05:30:00,2026-03-31 21:30:06,SOLAR,Phase_C,248.6,0.15,0.0,0.0,26171.684,3.672,False,False,True,inactive,248.31512496655364,0.15,0.0
2026-04-01 05:40:00,2026-03-31 21:40:51,SOLAR,Phase_C,249.9,0.15,0.0,0.0,26171.684,3.672,False,False,True,inactive,248.377575820969,0.15,0.0
2026-04-01 05:50:00,2026-03-31 21:50:30,SOLAR,Phase_C,249.0,0.15,0.0,0.0,26171.684,3.672,False,False,True,inactive,248.4017477696443,0.15,0.0
2026-04-01 06:00:00,2026-03-31 22:00:17,SOLAR,Phase_C,249.1,0.15,0.0,0.0,26171.684,3.672,False,False,True,inactive,248.42849719778624,0.15,0.0
2026-04-01 06:10:00,2026-03-31 22:10:02,SOLAR,Phase_C,248.4,0.15,0.0,0.0,26171.684,3.672,False,False,True,inactive,248.4274193666266,0.15,0.0
2026-04-01 06:20:00,2026-03-31 22:20:47,SOLAR,Phase_C,248.9,0.15,0.0,0.0,26171.684,3.672,False,False,True,inactive,248.4450804166428,0.15,0.0
2026-04-01 06:30:00,2026-03-31 22:30:33,SOLAR,Phase_C,248.6,0.15,0.0,0.0,26171.684,3.672,False,False,True,inactive,248.45080524412583,0.15,0.0
2026-04-01 06:40:00,2026-03-31 22:40:19,SOLAR,Phase_C,248.5,0.15,0.0,0.0,26171.684,3.672,False,False,True,inactive,248.4526040869492,0.15,0.0
2026-04-01 06:50:00,2026-03-31 22:50:04,SOLAR,Phase_C,249.0,0.15,0.0,0.0,26171.684,3.672,False,False,True,inactive,248.4724229124795,0.15,0.0
2026-04-01 07:00:00,2026-03-31 23:00:49,SOLAR,Phase_C,249.3,0.15,0.0,0.0,26171.684,3.672,False,False,True,inactive,248.5021089679628,0.15,0.0
2026-04-01 07:10:00,2026-03-31 23:10:35,SOLAR,Phase_C,250.6,0.15,0.0,0.0,26171.684,3.672,False,False,True,inactive,248.57670979352383,0.15,0.0
2026-04-01 07:20:00,2026-03-31 23:20:21,SOLAR,Phase_C,249.2,0.15,0.0,0.0,26171.684,3.672,False,False,True,inactive,248.59869350743216,0.15,0.0
2026-04-01 07:30:00,2026-03-31 23:30:07,SOLAR,Phase_C,247.9,0.15,0.0,0.0,26171.684,3.672,False,True,True,active,248.5742385837408,0.15,0.0
2026-04-01 07:40:00,2026-03-31 23:40:51,SOLAR,Phase_C,249.2,0.15,0.0,0.0,26171.684,3.672,False,True,True,active,248.59598373211088,0.15,0.0
2026-04-01 07:50:00,2026-03-31 23:50:37,SOLAR,Phase_C,249.1,0.93,94.0,0.41,26171.698,3.672,True,True,True,active,248.61338033772165,0.1769224492162355,8.943275070752474
