rtc_time,gmt_time,channel_name,phase,voltage,current,power,pf,import_kwh,export_kwh,is_active_generation,is_active_window,is_valid,status,voltage_kf,current_kf,power_kf,timestamp,day,hour,power_kw_normal,voltage_v_normal,current_a_normal,energy_kwh_normal,active_pv,power_kw,voltage_v,current_a,energy_kwh,fault_type,fault_name,is_anomaly,power_ma,power_std,power_zscore,drift_flag,power_ratio,voltage_ratio,current_ratio,health_index,health_status,iso_prediction_raw,iso_anomaly_pred,elapsed_days,RUL_days,RUL_months,RUL_years
2026-04-01 08:20:00,2026-04-01 00:20:54,SOLAR,Phase_C,249.4,0.88,136.0,0.62,26171.78,3.672,True,True,True,active,248.73028914389545,0.2512585322966812,51.66799108662281,2026-04-01 08:20:00,1,8,0.05166799108662281,248.73028914389545,0.2512585322966812,0.008611331847770468,True,0.05166799108662281,248.73028914389545,0.2512585322966812,0.008611331847770468,0,Normal,0,0.05166799108662281,0.007489154884073182,0.0,0,1.0,1.0,1.0,1.0,Healthy,1,0,0.0,3650.0,119.90801576872536,9.99315537303217
2026-04-01 08:30:00,2026-04-01 00:30:40,SOLAR,Phase_C,248.6,0.89,163.0,0.74,26171.804,3.672,True,True,True,active,248.7258948443437,0.2728015500899105,62.2592554943918,2026-04-01 08:30:00,1,8,0.062259255494391805,248.7258948443437,0.2728015500899105,0.010376542582398634,True,0.062259255494391805,248.7258948443437,0.2728015500899105,0.010376542582398634,0,Normal,0,0.056963623290507304,0.007489154884073182,0.7071067811865478,0,1.0,1.0,1.0,1.0,Healthy,1,0,0.006944444444444444,3649.9930555555557,119.90778763323112,9.993136360179482
2026-04-01 08:40:00,2026-04-01 00:40:26,SOLAR,Phase_C,248.4,0.95,199.0,0.84,26171.832,3.672,True,True,True,active,248.71495723360968,0.2955295347860738,75.26752851198299,2026-04-01 08:40:00,1,8,0.07526752851198298,248.71495723360968,0.2955295347860738,0.012544588085330497,True,0.07526752851198298,248.71495723360968,0.2955295347860738,0.012544588085330497,0,Normal,0,0.0630649250309992,0.01182037940272675,1.032336024524633,0,1.0,1.0,1.0,1.0,Healthy,1,0,0.013888888888888888,3649.9861111111113,119.9075594977369,9.993117347326793
2026-04-01 08:50:00,2026-04-01 00:50:12,SOLAR,Phase_C,247.4,1.29,300.0,0.94,26171.876,3.672,True,True,True,active,248.671028236628,0.3287519765113037,96.64629127963964,2026-04-01 08:50:00,1,8,0.09664629127963964,248.671028236628,0.3287519765113037,0.016107715213273272,True,0.09664629127963964,248.671028236628,0.3287519765113037,0.016107715213273272,0,Normal,0,0.07146026659315931,0.019366843296321417,1.3004713417216642,0,1.0,1.0,1.0,1.0,Healthy,1,0,0.020833333333333332,3649.9791666666665,119.90733136224266,9.993098334474103
2026-04-01 09:00:00,2026-04-01 01:00:56,SOLAR,Phase_C,247.1,2.43,595.0,0.99,26171.95,3.672,True,True,True,active,248.6187716070609,0.3986451439490857,144.0541533975298,2026-04-01 09:00:00,1,9,0.1440541533975298,248.6187716070609,0.3986451439490857,0.024009025566254966,True,0.1440541533975298,248.6187716070609,0.3986451439490857,0.024009025566254966,0,Normal,0,0.08597904395403341,0.03654148936101748,1.5892923484791237,0,1.0,1.0,1.0,1.0,Healthy,1,0,0.027777777777777776,3649.972222222222,119.90710322674842,9.993079321621416
2026-04-01 09:10:00,2026-04-01 01:10:42,SOLAR,Phase_C,248.5,3.2,791.0,0.99,26172.068,3.672,True,True,True,active,248.6148369828006,0.491447447891955,205.5969571840232,2026-04-01 09:10:00,1,9,0.2055969571840232,248.6148369828006,0.491447447891955,0.03426615953067053,True,0.2055969571840232,248.6148369828006,0.491447447891955,0.03426615953067053,0,Normal,0,0.10591536282569837,0.05876193680175383,1.6963633226491899,0,1.0,1.0,1.0,1.0,Healthy,1,0,0.034722222222222224,3649.965277777778,119.9068750912542,9.993060308768728
2026-04-01 09:20:00,2026-04-01 01:20:28,SOLAR,Phase_C,249.5,3.21,797.0,1.0,26172.2,3.672,True,True,True,active,248.64404859306148,0.5811634618722739,261.85572024547633,2026-04-01 09:20:00,1,9,0.2618557202454763,248.64404859306148,0.5811634618722739,0.04364262004091272,True,0.2618557202454763,248.64404859306148,0.5811634618722739,0.04364262004091272,0,Normal,0,0.12819255674280952,0.07969557450483124,1.6771717166624351,0,1.0,1.0,1.0,1.0,Healthy,1,0,0.041666666666666664,3649.9583333333335,119.90664695575997,9.99304129591604
2026-04-01 09:30:00,2026-04-01 01:30:14,SOLAR,Phase_C,249.7,3.45,859.0,1.0,26172.336,3.672,True,True,True,active,248.6787717726636,0.6755003089164104,318.6603417237446,2026-04-01 09:30:00,1,9,0.3186603417237446,248.6787717726636,0.6755003089164104,0.05311005695395743,True,0.3186603417237446,248.6787717726636,0.6755003089164104,0.05311005695395743,0,Normal,0,0.1520010298654264,0.09989389910588088,1.6683632669265458,0,1.0,1.0,1.0,1.0,Healthy,1,0,0.04861111111111111,3649.9513888888887,119.90641882026571,9.99302228306335
2026-04-01 09:40:00,2026-04-01 01:40:00,SOLAR,Phase_C,249.8,3.59,893.0,1.0,26172.482,3.672,True,True,True,active,248.7155176272884,0.7710167964088731,373.2953952271739,2026-04-01 09:40:00,1,9,0.3732953952271739,248.7155176272884,0.7710167964088731,0.06221589920452898,True,0.3732953952271739,248.7155176272884,0.7710167964088731,0.06221589920452898,0,Normal,0,0.17658929268339835,0.11904909159420275,1.6523108232885872,0,1.0,1.0,1.0,1.0,Healthy,1,0,0.05555555555555555,3649.9444444444443,119.90619068477149,9.993003270210663
2026-04-01 09:50:00,2026-04-01 01:50:44,SOLAR,Phase_C,250.4,4.36,1090.0,1.0,26172.65,3.672,True,True,True,active,248.7705488512177,0.8882671408203217,441.4729257492891,2026-04-01 09:50:00,1,9,0.4414729257492891,248.7705488512177,0.8882671408203217,0.07357882095821484,True,0.4414729257492891,248.7705488512177,0.8882671408203217,0.07357882095821484,0,Normal,0,0.20307765598998745,0.14005098073154407,1.7022035012826384,0,1.0,1.0,1.0,1.0,Healthy,1,0,0.0625,3649.9375,119.90596254927726,9.992984257357975
