rtc_time,gmt_time,channel_name,phase,voltage,current,power,pf,import_kwh,export_kwh,is_active_generation,is_active_window,is_valid,status,voltage_kf,current_kf,power_kf,synthetic_anomaly,synthetic_severity
2026-02-01 00:00:00,2026-01-31 16:00:35,SOLAR,Phase_C,241.2,0.15,0.0,0.0,25063.77,3.551,False,False,True,inactive,241.2,0.15,0.0,False,normal
2026-02-01 00:10:00,2026-01-31 16:10:21,SOLAR,Phase_C,243.9,0.15,0.0,0.0,25063.77,3.551,False,False,True,inactive,243.6545677665667,0.15,0.0,False,normal
2026-02-01 00:20:00,2026-01-31 16:20:08,SOLAR,Phase_C,240.3,0.15,0.0,0.0,25063.77,3.551,False,False,True,inactive,242.05622701393293,0.15,0.0,False,normal
2026-02-01 00:30:00,2026-01-31 16:30:51,SOLAR,Phase_C,242.0,0.15,0.0,0.0,25063.77,3.551,False,False,True,inactive,242.03805635924488,0.15,0.0,False,normal
2026-02-01 00:40:00,2026-01-31 16:40:38,SOLAR,Phase_C,240.7,0.15,0.0,0.0,25063.77,3.551,False,False,True,inactive,241.71048995371865,0.15,0.0,False,normal
2026-02-01 00:50:00,2026-01-31 16:50:17,SOLAR,Phase_C,242.4,0.15,0.0,0.0,25063.77,3.551,False,False,True,inactive,241.8465357010824,0.15,0.0,False,normal
2026-02-01 01:00:00,2026-01-31 17:00:03,SOLAR,Phase_C,244.2,0.15,0.0,0.0,25063.77,3.551,False,False,True,inactive,242.23601028602727,0.15,0.0,False,normal
2026-02-01 01:10:00,2026-01-31 17:10:47,SOLAR,Phase_C,242.6,0.15,0.0,0.0,25063.77,3.551,False,False,True,inactive,242.28796153984047,0.15,0.0,False,normal
2026-02-01 01:20:00,2026-01-31 17:20:33,SOLAR,Phase_C,243.4,0.15,0.0,0.0,25063.77,3.551,False,False,True,inactive,242.42770660366145,0.15,0.0,False,normal
2026-02-01 01:30:00,2026-01-31 17:30:19,SOLAR,Phase_C,243.9,0.15,0.0,0.0,25063.77,3.551,False,False,True,inactive,242.5932295632224,0.15,0.0,False,normal
2026-02-01 01:40:00,2026-01-31 17:40:05,SOLAR,Phase_C,243.5,0.15,0.0,0.0,25063.77,3.551,False,False,True,inactive,242.6856027755477,0.15,0.0,False,normal
