rtc_time,voltage,current,power,pf,degradation_factor,day_counter,source
2026-03-01 00:00:00,241.2,0.15,9.56,0.0,1.0,0,synthetic_stream
2026-03-01 00:10:00,243.65,0.15,0.0,0.0,1.0,0,synthetic_stream
2026-03-01 00:20:00,242.06,0.15,10.56,0.0,1.0,0,synthetic_stream
2026-03-01 00:30:00,242.04,0.15,0.0,0.0,1.0,0,synthetic_stream
2026-03-01 00:40:00,241.71,0.15,1.86,0.0,1.0,0,synthetic_stream
2026-03-01 00:50:00,241.85,0.15,0.0,0.0,1.0,0,synthetic_stream
2026-03-01 01:00:00,242.24,0.15,0.0,0.0,1.0,0,synthetic_stream
2026-03-01 01:10:00,242.29,0.15,0.0,0.0,1.0,0,synthetic_stream
2026-03-01 01:20:00,242.43,0.15,9.42,0.0,1.0,0,synthetic_stream
2026-03-01 01:30:00,242.59,0.15,21.73,1.0,1.0,0,synthetic_stream
2026-03-01 01:40:00,242.69,0.15,26.27,1.0,1.0,0,synthetic_stream
2026-03-01 01:50:00,242.86,0.15,0.0,0.0,1.0,0,synthetic_stream
2026-03-01 02:00:00,242.97,0.15,0.0,0.0,1.0,0,synthetic_stream
2026-03-01 02:10:00,243.09,0.15,0.02,0.0,1.0,0,synthetic_stream
2026-03-01 02:20:00,243.26,0.15,13.87,0.0,1.0,0,synthetic_stream
2026-03-01 02:30:00,243.3,0.15,0.0,0.0,1.0,0,synthetic_stream
2026-03-01 02:40:00,243.24,0.15,0.0,0.0,1.0,0,synthetic_stream
2026-03-01 02:50:00,243.22,0.15,10.79,0.0,1.0,0,synthetic_stream
2026-03-01 03:00:00,243.31,0.15,9.36,0.0,1.0,0,synthetic_stream
2026-03-01 03:10:00,243.44,0.15,0.0,0.0,1.0,0,synthetic_stream
2026-03-01 03:20:00,243.58,0.15,0.55,0.0,1.0,0,synthetic_stream
2026-03-01 03:30:00,243.7,0.15,0.0,0.0,1.0,0,synthetic_stream
2026-03-01 03:40:00,243.77,0.15,3.78,0.0,1.0,0,synthetic_stream
2026-03-01 03:50:00,243.97,0.15,3.8,0.0,1.0,0,synthetic_stream
2026-03-01 04:00:00,244.12,0.15,0.0,0.0,1.0,0,synthetic_stream
2026-03-01 04:10:00,244.22,0.15,24.53,1.0,1.0,0,synthetic_stream
2026-03-01 04:20:00,244.24,0.15,7.13,0.0,1.0,0,synthetic_stream
2026-03-01 04:30:00,244.35,0.15,8.89,0.0,1.0,0,synthetic_stream
2026-03-01 04:40:00,244.46,0.15,0.0,0.0,1.0,0,synthetic_stream
2026-03-01 04:50:00,244.61,0.15,3.26,0.0,1.0,0,synthetic_stream
2026-03-01 05:00:00,244.71,0.15,4.45,0.0,1.0,0,synthetic_stream
2026-03-01 05:10:00,244.79,0.15,0.0,0.0,1.0,0,synthetic_stream
2026-03-01 05:20:00,244.79,0.15,5.15,0.0,1.0,0,synthetic_stream
2026-03-01 05:30:00,244.88,0.15,0.0,0.0,1.0,0,synthetic_stream
2026-03-01 05:40:00,245.0,0.15,0.0,0.0,1.0,0,synthetic_stream
2026-03-01 05:50:00,245.07,0.15,0.0,0.0,1.0,0,synthetic_stream
2026-03-01 06:00:00,245.13,0.15,0.0,0.0,1.0,0,synthetic_stream
2026-03-01 06:10:00,245.21,0.15,4.56,0.0,1.0,0,synthetic_stream
2026-03-01 06:20:00,245.29,0.15,0.0,0.0,1.0,0,synthetic_stream
2026-03-01 06:30:00,245.33,0.15,0.0,0.0,1.0,0,synthetic_stream
2026-03-01 06:40:00,245.47,0.15,0.0,0.0,1.0,0,synthetic_stream
2026-03-01 06:50:00,245.65,0.15,0.0,0.0,1.0,0,synthetic_stream
2026-03-01 07:00:00,245.83,0.15,4.32,0.0,1.0,0,synthetic_stream
2026-03-01 07:10:00,245.98,0.15,10.37,0.0,1.0,0,synthetic_stream
2026-03-01 07:20:00,246.18,0.15,0.0,0.0,1.0,0,synthetic_stream
2026-03-01 07:30:00,246.36,0.15,0.0,0.0,1.0,0,synthetic_stream
2026-03-01 07:40:00,246.5,0.15,0.0,0.0,1.0,0,synthetic_stream
2026-03-01 07:50:00,246.63,0.179,6.13,0.0,1.0,0,synthetic_stream
2026-03-01 08:00:00,246.7,0.202,12.94,0.0,1.0,0,synthetic_stream
2026-03-01 08:10:00,246.8,0.228,36.24,1.0,1.0,0,synthetic_stream
2026-03-01 08:20:00,246.91,0.259,60.56,1.0,1.0,0,synthetic_stream
2026-03-01 08:30:00,247.0,0.285,54.56,1.0,1.0,0,synthetic_stream
2026-03-01 08:40:00,247.07,0.308,82.97,1.0,1.0,0,synthetic_stream
2026-03-01 08:50:00,247.05,0.337,116.01,1.0,1.0,0,synthetic_stream
2026-03-01 09:00:00,246.96,0.366,127.0,1.0,1.0,0,synthetic_stream
2026-03-01 09:10:00,246.9,0.394,135.82,1.0,1.0,0,synthetic_stream
2026-03-01 09:20:00,246.87,0.426,162.39,1.0,1.0,0,synthetic_stream
2026-03-01 09:30:00,246.81,0.472,186.92,1.0,1.0,0,synthetic_stream
2026-03-01 09:40:00,246.8,0.547,227.58,1.0,1.0,0,synthetic_stream
2026-03-01 09:50:00,246.76,0.63,273.92,1.0,1.0,0,synthetic_stream
2026-03-01 10:00:00,246.7,0.715,333.04,1.0,1.0,0,synthetic_stream
2026-03-01 10:10:00,246.66,0.824,376.93,1.0,1.0,0,synthetic_stream
2026-03-01 10:20:00,246.65,0.954,486.63,1.0,1.0,0,synthetic_stream
2026-03-01 10:30:00,246.63,1.103,532.13,1.0,1.0,0,synthetic_stream
2026-03-01 10:40:00,246.59,1.273,646.43,1.0,1.0,0,synthetic_stream
2026-03-01 10:50:00,246.6,1.456,743.1,1.0,1.0,0,synthetic_stream
2026-03-01 11:00:00,246.64,1.649,868.34,1.0,1.0,0,synthetic_stream
2026-03-01 11:10:00,246.65,1.857,957.47,1.0,1.0,0,synthetic_stream
2026-03-01 11:20:00,246.61,2.037,1065.08,1.0,1.0,0,synthetic_stream
2026-03-01 11:30:00,246.59,2.246,1126.93,1.0,1.0,0,synthetic_stream
2026-03-01 11:40:00,246.56,2.488,1255.01,1.0,1.0,0,synthetic_stream
2026-03-01 11:50:00,246.51,2.767,1415.32,1.0,1.0,0,synthetic_stream
2026-03-01 12:00:00,246.5,3.077,1588.71,1.0,1.0,0,synthetic_stream
2026-03-01 12:10:00,246.52,3.356,1699.05,1.0,1.0,0,synthetic_stream
2026-03-01 12:20:00,246.5,3.646,1829.61,1.0,1.0,0,synthetic_stream
2026-03-01 12:30:00,246.5,3.944,1971.9,1.0,1.0,0,synthetic_stream
2026-03-01 12:40:00,246.45,4.25,2090.68,1.0,1.0,0,synthetic_stream
2026-03-01 12:50:00,246.42,4.568,2241.66,1.0,1.0,0,synthetic_stream
2026-03-01 13:00:00,246.33,4.537,2100.21,1.0,1.0,0,synthetic_stream
2026-03-01 13:10:00,246.34,4.9,2264.52,1.0,1.0,0,synthetic_stream
2026-03-01 13:20:00,246.34,5.262,2447.85,1.0,1.0,0,synthetic_stream
